哺乳類名,分類（目）,寿命（年）,身長（m）,体重（kg）,睡眠時間（時間）,速度（km/h）,生息地,食性
アフリカゾウ,長鼻目,70,4.0,6400.0,3.0,40.0,陸上,植物
アジアゾウ,長鼻目,70,3.0,5000.0,4.0,40.0,陸上,植物
オオアブラコウモリ,翼手目,19,0.1,0.02,20.0,40.0,陸上,肉食
バンドウイルカ,鯨偶蹄目,25,3.5,635.0,5.0,37.0,水中,肉食
チーター,食肉目,14,1.5,50.0,12.0,110.0,陸上,肉食
チンパンジー,霊長目,40,1.5,68.0,10.0,,陸上,雑食
イエネコ,食肉目,16,0.8,4.5,12.0,50.0,陸上,肉食
ロバ,奇蹄目,40,1.2,187.0,3.0,50.0,陸上,植物
キリン,偶蹄目,25,5.0,1100.0,2.0,50.0,陸上,植物
ハイイロオオカミ,食肉目,16,1.6,80.0,13.0,64.0,陸上,肉食
ゼニガタアザラシ,鰭脚目,30,2.1,275.0,6.0,19.0,半水棲,肉食
ジリス,齧歯目,9,0.3,0.1,15.0,19.0,陸上,雑食
ウマ,奇蹄目,25,1.5,521.0,3.0,69.0,陸上,植物
ハツカネズミ,齧歯目,3,0.1,0.03,12.0,13.0,陸上,雑食
ヒト,霊長目,80,1.9,80.0,8.0,45.0,陸上,雑食
ジャガー,食肉目,20,1.8,115.0,11.0,60.0,陸上,肉食
シャチ,鯨偶蹄目,50,6.5,4000.0,,48.0,水中,肉食
ライオン,食肉目,15,2.5,250.0,20.0,80.0,陸上,肉食
フクロネズミ,フクロネズミ目,5,0.5,5.0,19.0,,陸上,雑食
アルマジロ,異節目,10,0.6,7.0,17.0,1.0,陸上,肉食
メガネザル,霊長目,12,0.4,1.0,17.0,,陸上,雑食
パタスモンキー,霊長目,20,0.9,13.0,,55.0,陸上,雑食
ブタ,偶蹄目,10,1.0,192.0,8.0,18.0,陸上,雑食
プロングホーン,偶蹄目,10,0.9,70.0,,98.0,陸上,植物
ウサギ,ウサギ目,5,0.5,3.0,11.0,56.0,陸上,植物
アカギツネ,食肉目,7,0.8,5.0,10.0,48.0,陸上,雑食
ブチハイエナ,食肉目,25,0.9,70.0,18.0,64.0,陸上,肉食
