性別,血液型,利き手,朝食,スマホOS,LINE使用頻度,睡眠時間,ゲーム時間,好きなコンビニ,苦手教科,苦手_国語,苦手_数学,苦手_英語,苦手_理科,苦手_社会,苦手_その他
女,A,右,はい,iOS（iPhone）,1日に何度も,6,0.5,セブンイレブン,数学;英語;理科,0,1,1,1,0,0
男,B,両方,はい,iOS（iPhone）,1日に何度も,4.0,0,セブンイレブン,国語;理科,1,0,0,1,0,0
男,B,右,はい,Android,1日に何度も,4.5,2,セブンイレブン,英語;その他,0,0,1,0,0,1
男,わからない,右,はい,iOS（iPhone）,1日に何度も,5.5,1.5,セブンイレブン,国語;数学;英語;理科,1,1,1,1,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,8,0,ローソン,数学;英語,0,1,1,0,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,7,0,セブンイレブン,国語;理科,1,0,0,1,0,0
男,O,右,はい,Android,1日に何度も,9,2,ファミリーマート,国語;数学;英語;理科;社会,1,1,1,1,1,0
女,わからない,右,いいえ,iOS（iPhone）,1日に何度も,7,0,使わない,数学;英語;理科,0,1,1,1,0,0
女,O,右,はい,Android,週に数回,7,0.5,セブンイレブン,数学,0,1,0,0,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,5,0,セブンイレブン,理科;社会,0,0,0,1,1,0
女,A,右,はい,iOS（iPhone）,1日1回程度,4.0,0,セブンイレブン,数学;社会,0,1,0,0,1,0
男,O,右,はい,iOS（iPhone）,1日に何度も,6,1.5,ファミリーマート,数学;理科,0,1,0,1,0,0
女,B,右,はい,iOS（iPhone）,1日に何度も,6,0,セブンイレブン,国語;理科,1,0,0,1,0,0
女,A,右,はい,Android,1日に何度も,6.5,0,セブンイレブン,数学;英語;理科;社会,0,1,1,1,1,0
女,A,右,はい,Android,1日に何度も,7.0,0,セブンイレブン,数学;理科,0,1,0,1,0,0
男,A,右,はい,iOS（iPhone）,1日に何度も,5.0,0.5,セブンイレブン,英語,0,0,1,0,0,0
女,O,右,はい,iOS（iPhone）,1日に何度も,6,0,セブンイレブン,数学;理科,0,1,0,1,0,0
女,わからない,右,はい,iOS（iPhone）,1日1回程度,12,0.25,ローソン,国語;英語;社会,1,0,1,0,1,0
女,わからない,右,いいえ,iOS（iPhone）,1日に何度も,4.8,0,セブンイレブン,数学,0,1,0,0,0,0
女,O,右,はい,iOS（iPhone）,1日に何度も,6,0,ファミリーマート,英語;理科,0,0,1,1,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,6,0,セブンイレブン,英語;理科,0,0,1,1,0,0
女,O,右,はい,iOS（iPhone）,1日に何度も,7,0,セブンイレブン,英語;理科,0,0,1,1,0,0
女,B,右,はい,Android,1日に何度も,5.0,0,セブンイレブン,数学;理科,0,1,0,1,0,0
女,B,左,はい,iOS（iPhone）,1日1回程度,6.0,0,セブンイレブン,数学;英語;理科,0,1,1,1,0,0
男,わからない,右,はい,Android,週に数回,9.5,2,セブンイレブン,国語;数学;英語;理科;社会,1,1,1,1,1,0
女,A,右,はい,iOS（iPhone）,1日に何度も,7,0,セブンイレブン,数学;理科,0,1,0,1,0,0
女,B,右,はい,iOS（iPhone）,1日に何度も,6,0,セブンイレブン,国語;数学;英語;理科,1,1,1,1,0,0
女,B,右,いいえ,iOS（iPhone）,1日に何度も,11.5,0,セブンイレブン,国語;数学;英語;理科;社会;その他,1,1,1,1,1,1
男,B,右,いいえ,iOS（iPhone）,1日に何度も,7,0.5,セブンイレブン,数学;理科,0,1,0,1,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,5,0,セブンイレブン,英語;理科,0,0,1,1,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,5.0,0.5,セブンイレブン,数学;理科,0,1,0,1,0,0
男,B,右,はい,iOS（iPhone）,1日1回程度,6.5,2,セブンイレブン,英語,0,0,1,0,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,6,0,セブンイレブン,英語,0,0,1,0,0,0
男,O,右,はい,iOS（iPhone）,1日に何度も,5.0,1.5,セブンイレブン,国語,1,0,0,0,0,0
女,O,右,はい,iOS（iPhone）,1日1回程度,6.5,0,セブンイレブン,数学,0,1,0,0,0,0
女,B,右,はい,iOS（iPhone）,1日に何度も,5,0.5,セブンイレブン,国語;英語;理科,1,0,1,1,0,0
男,O,右,はい,iOS（iPhone）,1日に何度も,5.3,0,ファミリーマート,数学;その他,0,1,0,0,0,1
女,わからない,右,はい,iOS（iPhone）,1日1回程度,5,0,セブンイレブン,英語;社会,0,0,1,0,1,0
女,わからない,右,はい,iOS（iPhone）,1日に何度も,6,0,ローソン,英語,0,0,1,0,0,0
男,B,右,はい,iOS（iPhone）,1日に何度も,6,1,セブンイレブン,国語;英語,1,0,1,0,0,0
男,O,右,はい,Android,1日に何度も,5.5,0,セブンイレブン,理科,0,0,0,1,0,0
女,AB,右,はい,Android,1日1回程度,6.5,1.5,ローソン,数学;理科;その他,0,1,0,1,0,1
女,B,右,はい,Android,1日1回程度,7,0,ファミリーマート,英語,0,0,1,0,0,0
女,A,右,はい,iOS（iPhone）,1日1回程度,6,2,セブンイレブン,英語;理科;社会,0,0,1,1,1,0
女,B,右,はい,iOS（iPhone）,1日に何度も,6.0,0.5,使わない,数学;英語,0,1,1,0,0,0
女,A,右,はい,iOS（iPhone）,1日に何度も,5.5,0,セブンイレブン,国語;数学;英語;理科;社会,1,1,1,1,1,0
女,AB,右,はい,Android,1日1回程度,6.5,1.5,ローソン,数学;理科;その他,0,1,0,1,0,1
