No.,URL,観光地名,最初の画像のURL,緯度,経度,エリア名,カテゴリー,条件,タグ,季節情報,開催期間,基本情報の備考欄,分類
9,https://niigata-kankou.or.jp/spot/11635,燕温泉「黄金の湯」「河原の湯」,https://niigata-kankou.or.jp/image/rendering/attraction_image/8802/trim.900/3/2?v=9461cb453f97b88aa9da937599111a52cbc98c20,36.90241193,138.14522929999998,妙高・上越・糸魚川エリア,"温泉地, 日帰り温泉, 温泉宿泊施設",情報なし,燕温泉,情報がありません,情報がありません,情報がありません,温泉・サウナ
19,https://niigata-kankou.or.jp/spot/11319,月岡温泉,https://niigata-kankou.or.jp/image/rendering/attraction_image/3556/trim.900/3/2?v=60b7422371bafdd801851c16b64ded7aa9036d14,37.87961724,139.3128014,村上・新発田エリア,"温泉・宿・サウナ, 温泉地",情報なし,情報なし,情報がありません,情報がありません,情報がありません,温泉・サウナ
20,https://niigata-kankou.or.jp/spot/9951,Befcoばかうけ展望室,https://niigata-kankou.or.jp/image/rendering/attraction_image/113423/trim.900/3/2?v=da540e024f6a8de0d343cbf35f09100265b07211,37.926373,139.060135,新潟・阿賀エリア,観光施設,"ユニバーサルデザイン情報有, おむつ交換場所有, 授乳室有",情報なし,情報がありません,情報がありません,情報がありません,観光施設
27,https://niigata-kankou.or.jp/spot/5609,新潟市歴史博物館みなとぴあ,https://niigata-kankou.or.jp/image/rendering/attraction_image/1505/trim.900/3/2?v=e6e29f95976aac0d8fdb576a7b55299b2134e15b,37.9298499,139.0577314,新潟・阿賀エリア,"観光施設, 美術館・博物館, 歴史・文化, 史跡・文化財",情報なし,情報なし,情報がありません,情報がありません,"「旧新潟税関庁舎」は改修工事を行う為、下記の期間見学できません。
●工事期間：2016年5月30日～2018年12月頃（予定）
※みなとぴの通常休館日のほか工事の関係で解放を制限する場合があります。",観光施設
31,https://niigata-kankou.or.jp/spot/10709,ニュー・グリーンピア津南スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/14511/trim.900/3/2?v=7263f611873cabeb9c32230ebb5d11673d05cb8c,36.962565,138.687603,湯沢・魚沼エリア,"スキー・スノーアクティビティ, 温泉・宿・サウナ, 温泉宿泊施設","カード対応可, ユニバーサルデザイン情報有",情報なし,情報がありません,"2023年12月23日（土曜日）オープン予定_x000D_
2024年3月31日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
31,https://niigata-kankou.or.jp/spot/10709,ニュー・グリーンピア津南スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/14511/trim.900/3/2?v=7263f611873cabeb9c32230ebb5d11673d05cb8c,36.962565,138.687603,湯沢・魚沼エリア,"スキー・スノーアクティビティ, 温泉・宿・サウナ, 温泉宿泊施設","カード対応可, ユニバーサルデザイン情報有",情報なし,情報がありません,"2023年12月23日（土曜日）オープン予定_x000D_
2024年3月31日（日曜日）クローズ予定",情報がありません,温泉・サウナ
35,https://niigata-kankou.or.jp/spot/10697,Mtグランビュースキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/13613/trim.900/3/2?v=fe171aa6ee24cddd3d18e69e5a63be08194bca6f,36.999963,138.805167,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,【2023-2024シーズン営業休止】,情報がありません,スキー・スノーアクティビティ
40,https://niigata-kankou.or.jp/spot/10063,新潟市水族館 マリンピア日本海,https://niigata-kankou.or.jp/image/rendering/attraction_image/7809/trim.900/3/2?v=5e4806a7e1d01affd7472a1cc87e798c6efe2992,37.9236326,139.02797520000001,新潟・阿賀エリア,動植物園・水族館,"ユニバーサルデザイン情報有, ベビーカー貸出有","こども, 自由研究, 夏休み",情報がありません,情報がありません,掲載している内容は2018年9月現在の情報で、生物展示など変更になる可能性があります。,動植物園・水族館
41,https://niigata-kankou.or.jp/spot/9891,三川観光きのこ園,https://niigata-kankou.or.jp/image/rendering/attraction_image/8696/trim.900/3/2?v=2575ad31a2b0371413b46c3ba5128f704f991113,37.71988,139.378867,新潟・阿賀エリア,"フルーツ・野菜収穫, 農家レストラン, 市場・産直",情報なし,"味覚狩り, きのこ狩り",情報がありません,通年,情報がありません,フルーツ・野菜収穫
43,https://niigata-kankou.or.jp/spot/44068,プライベートサウナ「ART」,https://niigata-kankou.or.jp/image/rendering/attraction_image/152377/trim.900/3/2?v=2f190b43d8c637f1e1fa56c9e26c76493f79dfd6,37.6428467,138.7671217,長岡・柏崎エリア,温泉・宿・サウナ,情報なし,情報なし,情報がありません,情報がありません,"●女性専用部屋　完全プライベート空間　着替え・サウナ室・水風呂・外気浴のすべてが「個室」で完結！_x000D_
●貸切グループ部屋　最大4名まで入れるグループルームでお友達、お仲間と一緒に完全プライベート空間でととのうを満喫！
_x000D_
●備品　ボディソープ・シャンプー・コンディショナー・ドライヤー_x000D_
●持ち物　水着（男女でご一緒にサウナ室をご利用される場合は必ず持参下さい）_x000D_
※男女でご一緒にサウナ室をご利用される場合は、着替えは別室になります。ご了承下さい",温泉・サウナ
